entry_zscore,lookback,max_holding_days,max_positions_per_side,min_history,min_holding_days,n_components,vol_target,zscore_window,total_return,cagr,vol,sharpe,sortino,calmar,max_dd,beta_mean_abs,avg_positions,avg_gross,total_costs,elapsed_s,combo_key
1.0,252,90,50,252,63,3,0.1,90,-0.04982824181293177,-0.00204663082872536,0.061475890303051006,-0.31891455950920095,-0.4245173532908203,-0.00791813247247915,-0.2584739313011979,0.0767840683318584,99.68188325115317,1.791989780956289,256807.37258169035,120.28610634803772,"{""entry_zscore"": 1.0, ""lookback"": 252, ""max_holding_days"": 90, ""max_positions_per_side"": 50, ""min_history"": 252, ""min_holding_days"": 63, ""n_components"": 3, ""vol_target"": 0.1, ""zscore_window"": 90}"
1.0,252,120,30,252,21,3,0.15,90,0.12909059841510762,0.004878404069431408,0.08526618193743034,-0.14871689209189484,-0.15747447483577387,0.015353330114984323,-0.31774240721042357,0.09255716552718274,59.809129950691904,1.9706421859976804,356586.245922241,117.01052474975586,"{""entry_zscore"": 1.0, ""lookback"": 252, ""max_holding_days"": 120, ""max_positions_per_side"": 30, ""min_history"": 252, ""min_holding_days"": 21, ""n_components"": 3, ""vol_target"": 0.15, ""zscore_window"": 90}"
1.0,252,120,30,252,21,5,0.1,90,-0.07329402939504881,-0.003046403992519209,0.06883321464594323,-0.2993515520990086,-0.384262197244894,-0.007597184029305488,-0.4009912068429521,0.0793703262154558,59.809129950691904,1.6292662457155704,287921.32163801393,117.23884963989258,"{""entry_zscore"": 1.0, ""lookback"": 252, ""max_holding_days"": 120, ""max_positions_per_side"": 30, ""min_history"": 252, ""min_holding_days"": 21, ""n_components"": 5, ""vol_target"": 0.1, ""zscore_window"": 90}"
1.0,252,120,30,252,42,3,0.1,60,0.6323583223891085,0.019835726542271503,0.06730672602163042,0.03382724178014092,0.09761558439769796,0.09316125060587893,-0.21291820808832906,0.07093250282379267,59.809129950691904,1.6189986995354884,361291.62592422613,117.22776746749878,"{""entry_zscore"": 1.0, ""lookback"": 252, ""max_holding_days"": 120, ""max_positions_per_side"": 30, ""min_history"": 252, ""min_holding_days"": 42, ""n_components"": 3, ""vol_target"": 0.1, ""zscore_window"": 60}"
1.0,252,120,50,126,42,10,0.1,40,0.18399872021588393,0.0067928351453085956,0.059179992945318526,-0.18192111838112635,-0.22502685964052996,0.026000049648118365,-0.2612623913124026,0.06221141046254289,99.68188325115317,1.8602938673824108,328714.13981670083,120.63240647315979,"{""entry_zscore"": 1.0, ""lookback"": 252, ""max_holding_days"": 120, ""max_positions_per_side"": 50, ""min_history"": 126, ""min_holding_days"": 42, ""n_components"": 10, ""vol_target"": 0.1, ""zscore_window"": 40}"
1.0,252,120,50,126,63,5,0.2,90,-0.3352686540203814,-0.016235430364347825,0.08482966585641827,-0.3983789829993658,-0.5244050544344023,-0.03362368954926326,-0.48285689589658864,0.09624663152435421,99.68188325115317,2.582007395088671,335819.1880354742,118.85343766212463,"{""entry_zscore"": 1.0, ""lookback"": 252, ""max_holding_days"": 120, ""max_positions_per_side"": 50, ""min_history"": 126, ""min_holding_days"": 63, ""n_components"": 5, ""vol_target"": 0.2, ""zscore_window"": 90}"
1.0,252,120,50,126,63,8,0.2,40,0.22496147329125704,0.008166322414365546,0.08047942439707095,-0.1167081313479723,-0.11932115230729894,0.030671192843896328,-0.26625382507712514,0.08537304808155806,99.68188325115317,2.641597455403763,395190.51988709124,118.69697785377502,"{""entry_zscore"": 1.0, ""lookback"": 252, ""max_holding_days"": 120, ""max_positions_per_side"": 50, ""min_history"": 126, ""min_holding_days"": 63, ""n_components"": 8, ""vol_target"": 0.2, ""zscore_window"": 40}"
1.0,252,120,50,252,42,5,0.08,60,0.6245162839314511,0.019638890713695734,0.054461108991852955,0.03819175012206921,0.0917710204426437,0.10250505216110754,-0.19158949046559404,0.05924119098755545,99.68188325115317,1.6304506769821425,354176.29151186964,120.41665387153625,"{""entry_zscore"": 1.0, ""lookback"": 252, ""max_holding_days"": 120, ""max_positions_per_side"": 50, ""min_history"": 252, ""min_holding_days"": 42, ""n_components"": 5, ""vol_target"": 0.08, ""zscore_window"": 60}"
1.0,252,120,50,252,63,5,0.1,60,0.045144229831567406,0.001771414966944107,0.05881468877553085,-0.2684280238397216,-0.36303244743318325,0.005197235558425939,-0.3408379218202314,0.06532229474392415,99.68188325115317,1.838725496262916,303779.69370015466,120.28200960159302,"{""entry_zscore"": 1.0, ""lookback"": 252, ""max_holding_days"": 120, ""max_positions_per_side"": 50, ""min_history"": 252, ""min_holding_days"": 63, ""n_components"": 5, ""vol_target"": 0.1, ""zscore_window"": 60}"
1.0,252,120,50,252,63,8,0.2,60,0.05356630408209773,0.0020937402888419054,0.08273184714985232,-0.18693146462515323,-0.21594396227979035,0.006530015321495907,-0.3206332888606864,0.09237874481465498,99.68188325115317,2.6311972352887936,413353.34296185494,120.28514122962952,"{""entry_zscore"": 1.0, ""lookback"": 252, ""max_holding_days"": 120, ""max_positions_per_side"": 50, ""min_history"": 252, ""min_holding_days"": 63, ""n_components"": 8, ""vol_target"": 0.2, ""zscore_window"": 60}"
